ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
2220,857425,-4.94256,857425,51,857425,62897,857419,
2189,857427,-4.94256,857427,50,857427,62895,857427,
2097,857429,-4.94256,857429,51,857429,62896,857429,
2154,857479,-4.94256,857479,52,857479,63010,857479,
2045,857491,-4.94256,857491,51,857491,63045,857492,
2069,857511,-4.94256,857511,51,857511,63079,857502,
2148,857517,-4.94256,857517,50,857517,63107,857515,
2181,857519,-4.865679999999999,857519,51,857519,63035,857519,
2057,857537,-4.865679999999999,857537,51,857537,63066,857532,
2260,857541,-4.94256,857541,51,857541,63125,857541,
2217,857561,-4.7888,857561,51,857561,63133,857561,
2261,857581,-4.865679999999999,857581,51,857581,62995,857581,
2157,857587,-4.865679999999999,857587,51,857587,62995,857581,
2130,857589,-4.865679999999999,857589,51,857589,62938,857589,
2249,857601,-4.865679999999999,857601,52,857601,62628,857601,
1875,857619,-4.94256,857619,51,857619,62366,857619,
2091,857641,-4.865679999999999,857641,51,857641,62150,857641,
1894,857647,-4.865679999999999,857647,51,857647,62150,857641,
1821,857649,-4.711919999999999,857649,51,857649,62143,857649,
2019,857719,-4.94256,857719,51,857719,62198,857719,
1980,857731,-5.0194399999999995,857731,51,857731,62255,857730,
1936,857756,-4.94256,857756,51,857756,62280,857750,
2027,857775,-4.94256,857775,52,857775,62326,857769,
2180,857781,-4.94256,857781,51,857781,62352,857779,
2230,857799,-5.0194399999999995,857799,51,857799,62496,857799,
2356,857801,-4.94256,857801,51,857801,62496,857799,
2213,857807,-4.94256,857807,52,857807,62476,857807,
2052,857829,-4.865679999999999,857829,50,857829,62540,857829,
2056,857847,-4.865679999999999,857847,51,857847,62561,857847,
1955,857855,-4.94256,857855,51,857855,62552,857849,
2115,857859,-4.94256,857859,51,857859,62565,857859,
2172,857861,-4.94256,857861,52,857861,62565,857859,
2121,857865,-4.94256,857865,51,857865,62565,857859,
2077,857877,-4.865679999999999,857877,51,857877,62551,857877,
2143,857879,-4.94256,857879,51,857879,62540,857879,
2043,857901,-4.865679999999999,857901,51,857901,62494,857902,
2197,857957,-4.94256,857957,51,857957,62497,857956,
2027,857971,-4.94256,857971,52,857971,62555,857972,
2226,857981,-4.94256,857981,51,857981,62553,857981,
2126,857987,-4.94256,857987,51,857987,62553,857981,
2032,857989,-4.865679999999999,857989,51,857989,62560,857989,
2008,858037,-4.865679999999999,858037,51,858037,62720,858031,
2060,858079,-4.865679999999999,858079,50,858079,62823,858079,
2193,858117,-4.94256,858117,51,858117,62851,858111,
2261,858119,-4.865679999999999,858119,51,858119,62896,858119,
2300,858121,-4.865679999999999,858121,51,858121,62881,858121,
2774,858139,-4.865679999999999,858139,52,858139,62927,858139,
1096,858161,-4.865679999999999,858161,51,858161,62939,858161,
2053,858189,-5.0194399999999995,858189,52,858189,62941,858189,
2040,858191,-4.865679999999999,858191,51,858191,62967,858191,
2195,858197,-4.94256,858197,50,858197,62967,858191,
2284,858199,-4.7888,858199,51,858199,62966,858200,
1946,858211,-5.0194399999999995,858211,51,858211,62965,858209,
1950,858271,-4.865679999999999,858271,51,858271,62994,858269,
2060,858291,-4.865679999999999,858291,51,858291,62963,858289,
1927,858311,-4.865679999999999,858311,51,858311,62972,858309,
2113,858317,-4.94256,858317,51,858317,62976,858317,
2264,858319,-5.48072,858319,51,858319,62982,858319,
2281,858327,-4.94256,858327,51,858327,62959,858327,
2139,858329,-4.865679999999999,858329,51,858329,62950,858329,
2097,858345,-4.865679999999999,858345,51,858345,62899,858339,
2141,858349,-4.94256,858349,52,858349,62807,858349,
2249,858369,-4.865679999999999,858369,51,858369,62502,858367,
2081,858389,-4.94256,858389,51,858389,62225,858389,
1984,858395,-4.94256,858395,51,858395,62134,858392,
1970,858409,-4.94256,858409,51,858409,62140,858409,
1809,858449,-4.94256,858449,51,858449,62084,858449,
2203,858459,-4.94256,858459,52,858459,62090,858459,
2244,858461,-4.94256,858461,52,858461,62118,858461,
2024,858479,-4.94256,858479,51,858479,62157,858479,
2093,858481,-4.94256,858481,51,858481,62174,858481,
2085,858487,-4.865679999999999,858487,51,858487,62174,858481,
2278,858501,-4.865679999999999,858501,52,858501,62213,858501,
1938,858531,-4.94256,858531,52,858531,62250,858532,
1930,858591,-4.7888,858591,50,858591,62446,858591,
