ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
1849,205817,-4.711919999999999,205817,52,205817,63906,205817,
1902,205827,-4.711919999999999,205827,52,205827,63861,205827,
1932,205829,-4.7888,205829,52,205829,63848,205830,
1981,205849,-4.711919999999999,205849,53,205849,63833,205850,
1958,205859,-4.711919999999999,205859,53,205859,63822,205857,
1959,205861,-5.5576,205861,56,205861,63822,205857,
1990,205865,-6.3264000000000005,205865,55,205865,63822,205857,
2065,205871,-5.63448,205871,55,205871,63934,205871,
2024,205879,-2.02112,205879,54,205879,63852,205878,
2012,205881,-2.097999999999999,205881,54,205881,63981,205881,
2089,205891,-3.558719999999999,205891,53,205891,64047,205891,
2084,205907,-2.02112,205907,53,205907,64155,205908,
2029,205941,2.207280000000001,205941,54,205941,64358,205941,
2093,205947,2.207280000000001,205947,54,205947,64303,205948,
2061,205957,4.974959999999999,205957,53,205957,64333,205958,
2059,205961,5.59,205961,54,205961,64433,205961,
2099,205967,2.43792,205967,53,205967,64360,205968,
2104,205969,3.9755199999999995,205969,54,205969,64360,205968,
2038,205979,5.359359999999999,205979,54,205979,64367,205978,
2089,205991,3.6679999999999993,205991,54,205991,64481,205991,
2021,206021,4.359919999999999,206021,54,206021,64518,206022,
2064,206039,6.743200000000002,206039,57,206039,64576,206039,
2136,206051,5.513120000000001,206051,57,206051,64577,206051,
2057,206057,7.127600000000001,206057,57,206057,64577,206051,
2032,206059,5.89752,206059,57,206059,64586,206059,
2122,206069,5.28248,206069,58,206069,64597,206069,
2142,206091,5.59,206091,60,206091,64557,206091,
2118,206097,4.667439999999999,206097,62,206097,64557,206091,
2222,206111,6.58944,206111,61,206111,64520,206111,
2065,206119,4.974959999999999,206119,62,206119,64524,206119,
2037,206151,5.051840000000002,206151,61,206151,64561,206151,
2037,206169,4.667439999999999,206169,61,206169,64591,206169,
2044,206171,4.744320000000002,206171,61,206171,64571,206171,
2030,206177,7.435120000000001,206177,61,206177,64571,206171,
2019,206179,5.743760000000002,206179,61,206179,64590,206179,
2012,206181,6.2819199999999995,206181,60,206181,64589,206181,
2043,206199,6.358800000000002,206199,53,206199,64592,206199,
2058,206207,5.743760000000002,206207,53,206207,64638,206201,
2080,206225,6.128160000000001,206225,60,206225,64662,206219,
2019,206231,5.666879999999999,206231,61,206231,64669,206229,
2460,206245,5.59,206245,61,206245,64666,206239,
2821,206251,8.357680000000002,206251,62,206251,64673,206249,
2806,206261,7.8964,206261,61,206261,64676,206259,
1792,206269,8.58832,206269,61,206269,64716,206269,
1134,206281,6.666319999999999,206281,61,206281,64700,206279,
1500,206285,6.128160000000001,206285,62,206285,64700,206279,
1656,206287,6.89696,206287,63,206287,64673,206287,
1787,206289,8.81896,206289,62,206289,64663,206289,
1992,206297,7.665760000000002,206297,63,206297,64657,206297,
2129,206309,6.973839999999999,206309,63,206309,64631,206309,
2083,206315,8.51144,206315,63,206315,64631,206309,
2075,206319,6.666319999999999,206319,62,206319,64663,206319,
2114,206325,9.20336,206325,63,206325,64663,206319,
2136,206327,7.5120000000000005,206327,65,206327,64658,206327,
2152,206329,8.050160000000002,206329,62,206329,64675,206329,
2126,206337,5.28248,206337,63,206337,64675,206337,
2122,206349,8.665200000000002,206349,64,206349,64699,206349,
2139,206351,6.512560000000001,206351,61,206351,64699,206349,
2109,206365,7.819520000000001,206365,62,206365,64681,206359,
2126,206385,10.51032,206385,62,206385,64687,206382,
2171,206391,7.8964,206391,66,206391,64698,206392,
2123,206397,7.127600000000001,206397,62,206397,64698,206392,
2209,206411,6.435680000000001,206411,63,206411,64644,206412,
2174,206415,8.665200000000002,206415,61,206415,64644,206412,
2147,206417,10.971600000000002,206417,60,206417,64748,206417,
2273,206449,11.279120000000002,206449,59,206449,64753,206447,
2270,206451,9.664640000000002,206451,62,206451,64740,206452,
2181,206459,11.663520000000002,206459,61,206459,64690,206459,
2172,206461,9.58776,206461,62,206461,64694,206461,
2110,206481,10.89472,206481,59,206481,64596,206481,
2099,206491,12.1248,206491,58,206491,64440,206491,
1953,206501,12.1248,206501,59,206501,64178,206501,
1823,206519,11.048480000000001,206519,58,206519,63861,206519,
1811,206521,10.356560000000002,206521,58,206521,63839,206522,
1835,206525,10.433440000000001,206525,59,206525,63839,206522,
1862,206537,11.81728,206537,57,206537,63716,206537,
1834,206541,9.8184,206541,57,206541,63721,206542,
1940,206551,11.43288,206551,58,206551,63752,206551,
1934,206561,13.047360000000001,206561,60,206561,63771,206561,
